網址,公司名稱,職稱,工作內容,工作待遇,工作性質,上班地點,管理責任,出差外派,上班時段,休假制度,可上班日,需求人數,工作經歷,學歷要求,科系要求,語言條件,工作技能
https://www.104.com.tw/company/1a2x6bjm4p,法騰資訊系統股份有限公司,銷售業務副理,前言： 法騰公司獨家研發「法律線上研究系統」提供法學生、學者、教授與實務律師加以使用，並成功收納法院實務裁判資料高達1530萬筆，全國法規條文總數28萬，致力推行「英美式」案例研習，幫助台灣改善法學教育、法律專業服務市場之工作品質。  一、職務內容 1. 業務經營： (1) 蒐集客戶意見。 (2) 導入系統服務。 (3) 提供系統使用輔導。 2. 推廣活動： (1) 舉辦相關活動講座。 (2) 法律數位化學習、工作等新知識。 3. 協助技術： (1) 提供改善經驗。 (2) 挖掘市場需求。  二、工作時間與地點 1. 上班時間 09:00~18:30 （午休至13:30）。 2. 小巨蛋捷運站4號出口。  三、基本要求 1. 性格外向、健談有禮貌。 2. 擅長人交誼、互動。 3. 熱愛事業與積極主動。 4. 不怕客戶拒絕、勇於挑戰高薪。,"年薪500,000~1,500,000元",全職,台北市松山區南京東路四段130號10樓之2,不需負擔管理責任,需外派，一年累積時間約一個月以下,日班,依公司規定,不限,2~3人,3年以上,不拘,無要求,無要求,無要求
https://www.104.com.tw/company/6gfygoo,互助營造股份有限公司,資訊助理工程師,1.工作流程及系統分析 2.現有系統測試及操作手冊撰寫 3.協助新系統之開發及設計 4.提供諮詢並處理使用者使用系統的相關問題 5.使用者操作訓練  6.資料統計分析及處理 ,"月薪26,000~35,000元",全職,台北市中山區,管理人數未定,需出差，一年累積時間未定,日班，08:15~17:30,週休二日,不限,1人,不拘,不拘,"['土木工程相關', '建築相關', '資訊管理相關']",英文:聽 /中等、說 /中等、讀 /中等、寫 /中等,無要求
https://www.104.com.tw/company/1a2x6bl6h8,釆力旺資訊有限公司,資訊人員,"采力旺資訊有限公司 是個歡樂有活力且充滿挑戰能面對多變化環境的團隊！ 並擁有健全的福利制度。  如果你樂於接受挑戰。 如果你喜歡獨立思考想在工作裡尋求更多機會。 如果你對週邊的新科技資訊敏銳並且喜歡蒐集各種市場情報。 如果你是個責任心強、細心並擁有高度服務熱誠。 就是我們一直在尋找的好夥伴！ 誠摯邀請你加入采力旺團隊！  【福利制度】  保險類：1.勞保。2.健保。3.勞退提撥。 休閒聚餐類：1.尾牙/春酒活動。2.部門聚餐。3.生日慶生。 獎品禮金類：1.年終獎金。2.三節禮金/禮品。3.婚喪喜慶。4.生日禮金。 其他制度：1.升遷調薪。2.工作獎金。3.技能獎金。4.紅利獎金。  職務類別：資訊人員 管理責任：依能力考核分配  【具備條件】  1、熟悉HTML,JavaScript,CSS,AJAX等Web相關開發技術。  2、ASP或PHP及MySQL。  3、熟悉JQuery。  4、2-3年以上程式設計經驗佳。   ※ 加分條件 1、具備前後端API功能串接經驗者。  2、金流串接經驗者。  3、熟悉 LINE API,FB API 經驗者。  【工作內容】  1、創造數據結構，開發服務器端API以基於前端功能提供數據。 2、設計、開發良好與具有安全性的程式。 3、監控服務器基礎架構的性能和成本，以便推動持續改進。 4、與相關部門討論，釐清介接兩端的規格及限制，定義API的功能及相關規範設計。 5、確認API程式的目的與功能，進行程序開發及測試，並撰寫API程式技術白皮書。  【公司特點】  1、表現優異即轉正職，馬上享有升遷調薪福利！ 2、不看年資只看實力，歡迎勇於挑戰自我。 3、同事之間相處融洽，上班氣氛歡樂。   ",待遇面議,全職,台中市西屯區,管理人數未定,無需出差外派,日班，09:00~06:00,週休二日,不限,不限,2年以上,專科以上,"['資訊工程相關', '資訊管理相關']",無要求,伺服器網站管理維護、作業系統基本操作、資料備份與復原、資訊設備操作檢修、資訊設備環境設定、系統維護操作、軟體工程系統開發、使用者測試(Usability test)、測試環境建置規劃、軟體程式設計、網路程式設計、資料庫系統管理維護、資料庫程式設計、資料庫軟體應用、系統架構規劃與維護、規劃與管理網路入侵檢測系統（NIDS）、設計網路安全系統、網路安全架構分析與設計、網路系統危機管理
https://www.104.com.tw/company/1a2x6bik9o,海科生技股份有限公司,實驗室資訊管理系統產品專員 ,職務內容 負責電子化軟體產品，包括：LIMS(實驗室資訊管理系統)、EBR(電子化批次紀錄系統) 提供公司內部產品之專業訓練。 產品推廣協助。 專案導入。 提供售後服務，解決客戶端問題，標準作業(SOP)之指導與服務。 協助客戶系統安裝、養護及確效測試作業。 其它業務協助事項，如EDM之作業、網頁之編排、產品Demo。,"月薪36,000~100,000元",全職,新北市新店區北新路三段215號7樓,不需負擔管理責任,無需出差外派,日班，9:00~18:30,週休二日,兩週內,1~2人,1年以上,專科、大學、碩士,"['資訊工程相關', '生物學相關', '藥學相關']",英文:聽 /精通、說 /中等、讀 /精通、寫 /精通,無要求
https://www.104.com.tw/company/1a2x6bl6oh,星寰資訊有限公司,台中｜線上文字客服人員｜內勤/無業績壓力/歡迎應屆畢業生 / 無經驗亦可,"星寰重視每位同仁個人成長及未來職涯發展規劃，歡迎加入我們。 ★ 工作內容 1.熟悉產品內容、公司規章及客服作業流程，能獨立作業迅速於系統以文字方式回覆相關問題與所諮詢內容。 2.具備耐心傾聽、細心溝通與專注力特質。 3.主管交辦事項。  ★工作時間 ➢早班：08:00~16:30 ➢中班：16:00~00:30 ➢夜班：00:00~08:30  ➢需配合輪早,中,夜三班(一個月換班一次)  ★休假制度 月休8天 ","月薪28,000~35,000元",全職,台中市西屯區惠來里市政路402號28樓之1,不需負擔管理責任,無需出差外派,日班/晚班/大夜班，需輪班,依公司規定,一週內,不限,不拘,專科、大學,"['文書管理相關', '資訊管理相關', '企業管理相關']",無要求,無要求
https://www.104.com.tw/company/1a2x6bknmj,得利科技資訊有限公司,★1.『  電話行銷人員』 2.『廣告seo 關鍵字 』 ★(底薪+績效獎金) 無經驗可,1.  ★強力徵求 業務人員: ▶推廣遊戲產品及提供玩家服務，透過電話 / 文字性  ▶開發新客戶， 客戶關係建立，定期維護，給您挑戰的成就感。 ▶無經驗可，提供職前員工課程專職訓練。 ▶助整理玩家服務相關數據、問題、玩家意見，並追蹤改善進度。 ▶良好抗壓力/學習力/態度，公司願意給予跨產業之學習時間。 ▶歡迎新鮮人.無經驗者 也歡迎您投遞履歷  ▶只要你肯努力，百萬年薪不是問題。  ★2 ★2. 強力徵求：廣告行銷 企劃人員 需會做 : 關鍵字.SEO .SEM.架設網站 .社交軟體 企劃人員 需已有經驗 人員，非常歡迎您加入! 薪資：40000起,"月薪30,000~80,000元",全職,新北市中和區中正路,不需負擔管理責任,無需出差外派,晚班，13:00-22:00,依公司規定,一週內,1~6人,不拘,不拘,無要求,中文:聽 /精通、說 /精通、讀 /精通、寫 /精通,無要求
https://www.104.com.tw/company/3d75368,統一集團_安源資訊股份有限公司,程式設計師-系統開發Team,1. ibon基盤開發 2. ibon周邊設備系統整合開發 3. Win Form程式開發 4. 資料交換程式開發,待遇面議,全職,台北市內湖區洲子街81號9樓,不需負擔管理責任,無需出差外派,日班,週休二日,不限,1人,2年以上,專科以上,無要求,無要求,無要求
https://www.104.com.tw/company/1a2x6bit81,艾絲資訊股份有限公司,moneybar數位/財經編輯、親子理財教育（關係企業）,【申請資格】 1. 對金融財經市場有高度熱情，喜歡跟moneybar專家群一起學習成長，並勇於嘗試新的東西，有寫作經驗尤佳。 2. 本身有投資經驗，或沒經驗但打算投入。 3. 財經相關科系畢業，或非本科系但已取得金融相關證照。 4. 無工作經驗可，如有財經社團或相關領域編輯經驗尤佳。 5. 熟悉FB / Line@社群操作。,"月薪32,000~40,000元",全職,台北市大同區民權西路106號12樓之2,不需負擔管理責任,無需出差外派,日班,週休二日,不限,2~4人,1年以上,大學、碩士,無要求,無要求,無要求
https://www.104.com.tw/company/1a2x6bktpo,優策資訊有限公司,Google雲端技術服務工程師_Google Cloud Technical Service Engineer,"1. 與單位主管及服務對象溝通，提供G-suite技術支援 (如Google Drive, Google Docs, Google Calendar, Google Sheets等) 2. 維護Google工具 / G Suite擴充功能 / 第三方軟體工具間的自動化工作流程，加以整合或改善 3. 參加相關培訓及研討會，並針對各項問題與Google聯繫尋求進階解決方案 4. 提供主管及各單位更有效率及有效的使用建議，依工作需求建立公式或腳本  1. Provide technical support for G Suite tools such as Google Drive, Google Docs, Google Calendar, Google Sheets, etc and communicate with supervisors and end-users. 2. Maintain, expand and improve the automation of workflows and integrations between the Google tools, G Suite add-ons, and third-party software.  3. Join trainings and seminars and work with Google globally for advanced support and to continue improving how we use G Suite. 4. Your advice, solutions, formulas, and scripts will help senior managers and various departments to work more efficiently and effectively. ","月薪30,000~70,000元",全職,台中市西屯區市政路386號21樓之3,不需負擔管理責任,無需出差外派,日班，08:30-17:30,週休二日,不限,1~2人,1年以上,大學以上,"['資訊管理相關', '資訊工程相關', '其他數學及電算機科學相關']",英文:聽 /中等、說 /中等、讀 /中等、寫 /中等,無要求
https://www.104.com.tw/company/1a2x6bk9bc,利頡資訊科技有限公司,"高級前端工程師 **月薪60,000~80,000**",1. 與設計團隊共同合作開發大型網站平台 2. 創造給客戶更好的UI/UX體驗 3. 設計，開發網頁介面 4. 採用Scrum開發流程,"月薪60,000~80,000元",全職,台北市中正區忠孝東路一段9號4樓,不需負擔管理責任,無需出差外派,日班，10點開始,週休二日,不限,2~3人,2年以上,不拘,無要求,無要求,無要求
